,City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Latitude,Longitude
0,rikitea,76.32,98.0,68.0,9.75,PF,1542594851,76.32,-23.12,-134.97
1,port moresby,81.36,90.0,8.0,8.3,PG,1542594633,81.36,-9.47,147.16
2,kushiro,38.25,90.0,88.0,3.6,JP,1542594852,38.25,43.11,144.15
3,forbes,77.76,53.0,0.0,8.97,AU,1542594852,77.76,-33.38,148.01
4,khatanga,-14.68,66.0,32.0,10.31,RU,1542594852,-14.68,71.98,102.47
5,avarua,76.32,100.0,12.0,13.78,CK,1542594853,76.32,-21.21,-159.78
6,kapaa,76.23,85.0,12.0,11.54,US,1542594745,76.23,22.08,-159.32
7,gigmoto,79.83,100.0,92.0,13.44,PH,1542594853,79.83,13.78,124.39
9,vaini,71.64,98.0,48.0,3.49,IN,1542594854,71.64,15.34,74.49
10,nanortalik,33.7,91.0,64.0,17.69,GL,1542594854,33.7,60.14,-45.24
11,busselton,61.38,100.0,88.0,17.47,AU,1542594851,61.38,-33.64,115.35
12,barrow,53.64,54.0,0.0,3.15,AR,1542594747,53.64,-38.31,-60.23
13,kavaratti,83.83,100.0,68.0,12.55,IN,1542594606,83.83,10.57,72.64
14,nome,60.21,94.0,68.0,3.04,US,1542594855,60.21,30.04,-94.42
15,yangambi,73.8,94.0,80.0,3.49,CD,1542594856,73.8,0.77,24.47
16,wukari,81.22,52.0,92.0,4.27,NG,1542594856,81.22,7.87,9.78
18,hermanus,52.2,89.0,12.0,5.61,ZA,1542594857,52.2,-34.42,19.24
20,nikolskoye,34.6,81.0,88.0,7.63,RU,1542594857,34.6,59.7,30.79
21,talnakh,-13.55,82.0,68.0,8.3,RU,1542594858,-13.55,69.49,88.39
23,bluff,85.05,47.0,56.0,11.43,AU,1542594858,85.05,-23.58,149.07
24,guarapari,75.96,96.0,8.0,17.02,BR,1542594570,75.96,-20.67,-40.5
25,ribeira grande,64.93,100.0,68.0,16.24,PT,1542594859,64.93,38.52,-28.7
26,faanui,83.7,97.0,68.0,7.63,PF,1542594859,83.7,-16.48,-151.75
27,east london,67.5,100.0,92.0,24.07,ZA,1542594860,67.5,-33.02,27.91
28,dunedin,42.43,100.0,92.0,13.11,NZ,1542594573,42.43,-45.87,170.5
29,severo-kurilsk,37.8,100.0,56.0,8.08,RU,1542594860,37.8,50.68,156.12
30,harnai,46.53,52.0,0.0,4.38,PK,1542594861,46.53,30.1,67.94
31,daru,69.93,99.0,68.0,6.17,SL,1542594861,69.93,7.99,-10.85
32,porto novo,67.45,100.0,92.0,2.48,BR,1542594861,67.45,-23.68,-45.44
33,bergerac,39.87,64.0,0.0,6.85,FR,1542594862,39.87,44.85,0.49
34,ushuaia,39.42,89.0,64.0,20.04,AR,1542594862,39.42,-54.81,-68.31
35,apiai,65.65,97.0,92.0,2.93,BR,1542594862,65.65,-24.51,-48.84
36,albany,31.72,88.0,80.0,4.38,US,1542594710,31.72,42.65,-73.75
38,ampanihy,62.95,83.0,24.0,3.94,MG,1542594863,62.95,-24.69,44.75
40,lata,43.11,64.0,68.0,2.37,IN,1542594864,43.11,30.78,78.62
42,rawson,57.96,41.0,0.0,7.74,AR,1542594865,57.96,-43.3,-65.11
43,caravelas,78.21,100.0,76.0,13.89,BR,1542594865,78.21,-17.73,-39.27
45,saintes,38.52,84.0,0.0,9.64,FR,1542594866,38.52,45.74,-0.63
46,hithadhoo,82.12,100.0,64.0,10.87,MV,1542594866,82.12,-0.6,73.08
47,castro,52.29,99.0,92.0,11.32,CL,1542594632,52.29,-42.48,-73.76
48,punta arenas,45.63,83.0,32.0,31.23,CL,1542594681,45.63,-53.16,-70.91
49,cape town,60.66,93.0,12.0,14.23,ZA,1542594807,60.66,-33.93,18.42
50,poum,31.14,100.0,80.0,1.92,MK,1542594868,31.14,41.28,20.71
51,hobart,68.76,57.0,0.0,7.52,AU,1542594868,68.76,-42.88,147.33
